,bbl,RS_Unit_Count,legacy_properties_all_rs,legacy_properties_0_35_pct_rs,legacy_properties_35_89_pct_rs,legacy_properties_90_pct_plus_rs,programmatic_properties,govt_subsidized_income_restricted_rs,mixed_income_rs
618,1002990024,14.0,1,0,0,1,0,0,0
619,1002990026,16.0,1,0,0,1,0,0,0
620,1002990028,1.0,1,1,0,0,0,0,0
621,1002990030,3.0,1,1,0,0,0,0,0
622,1003000003,16.0,1,0,0,1,0,0,0
623,1003000004,20.0,1,0,0,1,0,0,0
624,1003000005,19.0,1,0,0,1,0,0,0
625,1003000006,20.0,1,0,0,1,0,0,0
628,1003000018,1.0,1,1,0,0,0,0,0
629,1003000019,8.0,1,0,0,1,0,0,0
630,1003000020,16.0,1,0,0,1,0,0,0
633,1003000023,7.0,1,0,0,1,0,0,0
634,1003000027,8.0,1,0,1,0,0,0,0
635,1003000028,14.0,1,0,0,1,0,0,0
637,1003030010,12.0,1,0,0,1,0,0,0
638,1003030011,14.0,1,0,1,0,0,0,0
640,1003040001,14.0,1,0,1,0,0,0,0
643,1003040021,17.0,1,0,1,0,0,0,0
644,1003040025,4.0,1,0,1,0,0,0,0
645,1003040029,6.0,1,0,1,0,0,0,0
646,1003040030,17.0,1,0,1,0,0,0,0
647,1003040031,9.0,1,1,0,0,0,0,0
648,1003040033,16.0,1,0,0,1,0,0,0
649,1003040035,12.0,1,1,0,0,0,0,0
650,1003060001,12.0,1,0,1,0,0,0,0
651,1003060004,12.0,1,0,1,0,0,0,0
652,1003060005,18.0,1,0,0,1,0,0,0
653,1003060006,6.0,1,1,0,0,0,0,0
654,1003060007,8.0,1,0,1,0,0,0,0
655,1003060008,11.0,1,0,1,0,0,0,0
656,1003060009,17.0,1,0,0,1,0,0,0
658,1003060023,9.0,1,0,1,0,0,0,0
659,1003060026,7.0,1,0,1,0,0,0,0
662,1003060031,10.0,1,0,0,1,0,0,0
663,1003060032,20.0,1,0,0,1,0,0,0
664,1003060035,13.0,1,0,1,0,0,0,0
665,1003070011,8.0,1,0,0,1,0,0,0
666,1003070012,6.0,1,0,0,1,0,0,0
667,1003080021,10.0,1,0,0,1,0,0,0
668,1003080022,11.0,1,0,0,1,0,0,0
669,1003080024,3.0,1,1,0,0,0,0,0
671,1003080027,8.0,1,0,1,0,0,0,0
672,1003080028,15.0,1,0,0,1,0,0,0
673,1003090008,16.0,1,0,0,1,0,0,0
675,1003090018,6.0,1,0,0,1,0,0,0
676,1003090021,6.0,1,0,1,0,0,0,0
677,1003090026,8.0,1,0,0,1,0,0,0
678,1003100002,5.0,1,0,1,0,0,0,0
679,1003100003,16.0,1,0,0,1,0,0,0
680,1003100004,16.0,1,0,0,1,0,0,0
681,1003100007,26.0,1,0,0,1,0,0,0
682,1003100021,6.0,1,0,1,0,0,0,0
683,1003100022,8.0,1,0,0,1,0,0,0
684,1003100023,8.0,1,0,1,0,0,0,0
685,1003100024,2.0,1,1,0,0,0,0,0
686,1003100025,15.0,1,0,0,1,0,0,0
687,1003100026,20.0,1,0,0,1,0,0,0
689,1003100029,10.0,1,0,0,1,0,0,0
690,1003100030,16.0,1,0,0,1,0,0,0
691,1003100031,4.0,1,0,1,0,0,0,0
692,1003100032,8.0,1,0,0,1,0,0,0
693,1003100040,11.0,1,0,1,0,0,0,0
694,1003430050,11.0,1,1,0,0,0,0,0
695,1003430062,18.0,0,0,0,0,1,0,1
696,1003430065,3.0,1,1,0,0,0,0,0
